[2026-03-22T06:11:05.717Z] GET http://localhost:3003/dashboard?businessId=biz-1774159749695 → 200 (423ms, ?B)
[2026-03-22T06:11:06.147Z] GET http://localhost:3003/_next/static/media/4473ecc91f70f139-s.p.woff → 200 (31ms, ?B)
[2026-03-22T06:11:06.147Z] GET http://localhost:3003/_next/static/media/463dafcda517f24f-s.p.woff → 200 (67ms, ?B)
[2026-03-22T06:11:06.147Z] GET http://localhost:3003/_next/static/media/8a1d8947e5852e30-s.p.woff2 → 200 (80ms, ?B)
[2026-03-22T06:11:06.147Z] GET http://localhost:3003/_next/static/media/9cc5b37ab1350db7-s.p.woff2 → pending (?ms, ?B)
[2026-03-22T06:11:06.148Z] GET http://localhost:3003/_next/static/css/app/layout.css?v=1774159865787 → pending (?ms, ?B)
[2026-03-22T06:11:06.149Z] GET http://localhost:3003/_next/static/chunks/webpack.js?v=1774159865787 → pending (?ms, ?B)
[2026-03-22T06:11:06.149Z] GET http://localhost:3003/_next/static/chunks/main-app.js?v=1774159865787 → pending (?ms, ?B)
[2026-03-22T06:11:06.149Z] GET http://localhost:3003/_next/static/chunks/app-pages-internals.js → pending (?ms, ?B)
[2026-03-22T06:11:06.150Z] GET http://localhost:3003/_next/static/chunks/app/dashboard/page.js → pending (?ms, ?B)
[2026-03-22T06:11:06.150Z] GET http://localhost:3003/_next/static/chunks/app/layout.js → pending (?ms, ?B)
[2026-03-22T06:11:08.054Z] GET http://localhost:3003/connect?_rsc=hi3jv → 200 (55ms, ?B)
[2026-03-22T06:11:08.110Z] GET http://localhost:3003/connect?_rsc=1cf3d → 200 (37ms, 1696B)
[2026-03-22T06:11:08.151Z] GET http://localhost:3003/_next/static/chunks/app/connect/page.js → 200 (39ms, 482701B)
[2026-03-22T06:11:33.981Z] GET http://localhost:3003/dashboard → 200 (208ms, ?B)
[2026-03-22T06:11:34.194Z] GET http://localhost:3003/_next/static/media/4473ecc91f70f139-s.p.woff → 200 (?ms, ?B)
[2026-03-22T06:11:34.195Z] GET http://localhost:3003/_next/static/media/463dafcda517f24f-s.p.woff → 200 (?ms, ?B)
[2026-03-22T06:11:34.196Z] GET http://localhost:3003/_next/static/media/8a1d8947e5852e30-s.p.woff2 → 200 (13ms, ?B)
[2026-03-22T06:11:34.215Z] GET http://localhost:3003/_next/static/media/9cc5b37ab1350db7-s.p.woff2 → 200 (1ms, ?B)
